Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year,Role
Galio,17,52,86,12,5,71,8.5,33:40:00,8.6,340,391,-0.2,27,151,2017,Mid
Syndra,23,28,64,10,13,43,3.1,36:54:00,9.4,562,397,9.8,128,110,2017,Mid
Ryze,28,15,54,9,19,32,3.3,33:46:00,9.4,420,395,-0.8,32,-158,2017,Mid
Taliyah,16,24,50,9,7,56,5,37:17:00,9.4,533,410,-5.6,-41,-79,2017,Mid
Jayce,3,36,49,2,1,67,12,31:06:00,8.8,604,419,5.3,334,740,2017,Mid
Orianna,13,19,40,6,7,46,3.9,36:27:00,9.1,535,396,6.6,-304,16,2017,Mid
Cassiopeia,9,20,36,4,5,44,3.7,34:58:00,9.1,423,385,1.4,-105,58,2017,Mid
LeBlanc,4,23,34,3,1,75,8.3,33:41:00,8,548,406,-7.8,454,-177,2017,Mid
Corki,16,3,24,7,9,44,3.5,37:22:00,9.9,641,419,-3.2,83,-62,2017,Mid
Lucian,5,12,21,1,4,20,2.2,40:57:00,8.6,626,386,-2.4,189,-307,2017,Mid
Malzahar,10,7,21,9,1,90,3.4,37:07:00,8.7,622,409,-9.4,-390,-153,2017,Mid
Kassadin,4,10,18,2,2,50,2.9,30:47:00,9.2,527,403,11.2,174,352,2017,Mid
Karma,3,3,8,1,2,33,2.8,34:41:00,8,382,371,-6,-291,-396,2017,Mid
Fizz,4,0,5,3,1,75,5.2,35:02:00,7.8,360,367,-16.8,-182,306,2017,Mid
Vladimir,1,1,3,0,1,0,6,32:25:00,9.4,619,350,-3,-362,-371,2017,Mid
Lissandra,1,0,1,1,0,100,9,33:56:00,10.8,478,468,2,446,-152,2017,Mid
Yasuo,1,0,1,1,0,100,5.7,52:21:00,9.6,645,430,9,294,-322,2017,Mid
Ekko,1,0,1,0,1,0,3,48:02:00,9.6,411,427,-7,96,1018,2017,Mid
Aurelion Sol,1,0,1,0,1,0,2.5,54:10:00,9.5,837,405,1,491,819,2017,Mid
Syndra,16,59,97,10,6,63,3.7,37:12:00,9.1,673,419,18.6,591,411,2016,Mid
Ryze,19,27,60,10,9,53,4.6,35:37:00,9,453,409,2.4,77,128,2016,Mid
Aurelion Sol,12,20,42,8,4,67,4.6,37:44:00,7.6,531,386,-8.1,8,-140,2016,Mid
Viktor,23,6,38,13,10,57,3.1,39:27:00,9.3,667,418,5.7,84,187,2016,Mid
Cassiopeia,22,6,36,8,14,36,2.5,36:03:00,8.3,426,379,-3.4,-221,-389,2016,Mid
Vladimir,15,12,35,7,8,47,4.4,38:25:00,7.9,538,366,-10.2,-239,-61,2016,Mid
Jayce,4,21,32,2,2,50,2.4,34:12:00,7.6,581,369,-12.5,26,-403,2016,Mid
Karma,5,16,27,2,3,40,2.4,38:06:00,8,389,361,-9.4,-249,-182,2016,Mid
Malzahar,11,3,18,5,6,45,2.9,38:24:00,7.8,561,375,-9.2,-442,-89,2016,Mid
Orianna,13,0,17,5,8,38,2.5,44:43:00,9.4,519,400,11.6,316,278,2016,Mid
Varus,5,3,10,3,2,60,3.6,48:02:00,8.7,783,391,-11,-183,-348,2016,Mid
Twisted Fate,1,5,8,0,1,0,0.8,46:55:00,8,577,380,-3,715,350,2016,Mid
Zilean,4,0,5,1,3,25,2,41:00:00,8.6,463,375,-5.8,-553,-165,2016,Mid
Lissandra,3,0,4,2,1,67,2.6,36:41:00,8.7,391,400,-10.7,-298,-405,2016,Mid
Anivia,1,1,3,1,0,100,3.5,40:24:00,7.5,560,386,10,716,993,2016,Mid
Ashe,21,45,80,15,6,71,5.7,32:49:00,9.5,557,443,-3.7,-180,38,2024,Bot
Kalista,19,42,74,12,7,63,4.5,34:05:00,9.2,556,447,-4.7,-59,-381,2024,Bot
Kaisa,30,27,70,16,14,53,5.5,32:50:00,10,734,465,-5.7,-310,-143,2024,Bot
Ziggs,10,37,57,4,6,40,4,31:17:00,9.6,721,424,4.1,44,412,2024,Bot
Ezreal,22,21,52,12,10,55,5.1,32:58:00,9.8,849,443,1.5,27,132,2024,Bot
Xayah,13,16,35,8,5,62,3.9,31:45:00,10.6,635,463,7,426,182,2024,Bot
Jhin,18,10,34,5,13,28,4.4,32:56:00,9.7,577,413,4.2,128,77,2024,Bot
Miss Fortune,11,4,18,3,8,27,3.1,34:35:00,9.6,686,435,0.9,117,-98,2024,Bot
Smolder,2,13,18,1,1,50,10,33:08:00,10.6,732,473,-11.5,-668,-987,2024,Bot
Lucian,1,11,15,0,1,0,2,42:14:00,8.5,699,383,3,-226,486,2024,Bot
Varus,6,6,15,3,3,50,3.5,36:21:00,9.1,710,441,7.2,364,-79,2024,Bot
Draven,2,4,7,1,1,50,2.5,26:36:00,9.1,573,512,-11,1220,-90,2024,Bot
Tristana,1,5,7,0,1,0,2,26:36:00,8.7,468,397,19,-51,1159,2024,Bot
Caitlyn,4,0,5,1,3,25,3,32:28:00,10.2,490,428,9,-151,268,2024,Bot
Jinx,2,1,4,0,2,0,3.7,38:31:00,10.2,560,418,19,391,670,2024,Bot
Twitch,1,2,4,1,0,100,17,33:11:00,9.8,940,498,-15,323,57,2024,Bot
Zeri,1,0,1,0,1,0,1.6,36:59:00,10.8,621,412,8,526,-436,2024,Bot
Xayah,27,42,87,18,9,67,6.5,30:24:00,10.3,596,459,1.7,145,89,2023,Bot
Kalista,14,50,81,8,6,57,4.4,31:06:00,9.1,473,425,9.9,232,264,2023,Bot
Kaisa,33,12,57,12,21,36,3.3,31:09:00,9.8,493,435,-0.2,-262,-78,2023,Bot
Aphelios,22,10,41,11,11,50,5.5,30:35:00,9.8,612,453,-3.3,196,-87,2023,Bot
Caitlyn,7,18,32,3,4,43,3.9,32:43:00,9.8,644,458,6.1,296,207,2023,Bot
Zeri,11,6,22,5,6,45,4.6,31:16:00,10.4,504,456,1.5,-111,-243,2023,Bot
Ashe,5,7,15,2,3,40,2.7,32:26:00,9.3,612,408,-5.4,-489,-444,2023,Bot
Draven,3,9,15,2,1,67,6.3,32:27:00,8.9,438,474,-2,581,-307,2023,Bot
Varus,8,3,14,5,3,63,4.7,31:25:00,9,681,424,2.9,-16,253,2023,Bot
Sivir,5,2,9,3,2,60,5.8,30:35:00,10.1,572,450,1.4,-96,-54,2023,Bot
Tristana,3,4,9,2,1,67,5.6,30:36:00,10.1,772,457,-1.3,743,455,2023,Bot
Ziggs,1,6,9,0,1,0,0.5,32:01:00,8.8,946,349,12,-1149,113,2023,Bot
Tahm Kench,6,1,9,4,2,67,8.8,32:28:00,5.8,199,320,-26.7,-513,-497,2023,Bot
Ezreal,5,0,6,0,5,0,1.5,31:43:00,9.2,490,386,-10,-343,-372,2023,Bot
Jinx,3,2,6,2,1,67,18,30:47:00,10.7,602,501,3,-55,317,2023,Bot
Nilah,2,0,3,1,1,50,8.7,34:09:00,9.7,439,467,14.5,50,1248,2023,Bot
KogMaw,1,0,1,0,1,0,0.5,34:22:00,10.1,516,414,-11,-63,-51,2023,Bot
Lucian,1,0,1,0,1,0,1,31:56:00,10,429,403,2,294,160,2023,Bot
Jhin,1,0,1,1,0,100,14,24:51:00,9.1,412,405,11,1157,809,2023,Bot
Caitlyn,8,62,88,5,3,63,4,33:05:00,9.3,483,420,-5.5,-297,-278,2022,Bot
Lucian,26,29,69,15,11,58,6.1,31:04:00,9.5,714,478,6.4,432,270,2022,Bot
Aphelios,31,8,49,17,14,55,4.1,30:36:00,9.3,570,436,2,116,-20,2022,Bot
Kalista,18,13,39,7,11,39,2.8,32:53:00,9.1,413,424,-4.3,-374,5,2022,Bot
Varus,19,8,34,9,10,47,3.5,32:55:00,9,556,418,3.4,93,-45,2022,Bot
Draven,6,7,16,3,3,50,1.9,31:33:00,8.9,430,469,-1.2,-40,-330,2022,Bot
Kaisa,8,5,16,5,3,63,7.2,30:26:00,9.5,510,458,-13,-894,-347,2022,Bot
Ashe,5,7,15,3,2,60,4.6,36:13:00,8.7,452,414,12.4,486,512,2022,Bot
Sivir,8,2,13,7,1,88,10.8,31:42:00,10.3,706,489,7.4,920,70,2022,Bot
Tristana,6,4,13,1,5,17,1.5,26:22:00,9.2,361,399,-7.7,-442,-283,2022,Bot
Miss Fortune,8,1,11,2,6,25,2.7,32:44:00,9.6,537,406,0.4,-228,28,2022,Bot
Ezreal,5,3,10,1,4,20,1.8,32:56:00,9.8,681,426,-5.6,-161,-149,2022,Bot
Jinx,4,2,8,3,1,75,12.7,27:38:00,9.9,504,453,-1.5,334,84,2022,Bot
Seraphine,3,2,6,0,3,0,2.4,33:08:00,8.4,322,351,-17,-1081,-127,2022,Bot
Singed,1,1,3,0,1,0,1.3,30:08:00,5,173,258,-54,-2140,-415,2022,Bot
Jhin,2,0,3,1,1,50,4.5,28:40:00,7.9,496,378,-14.5,-728,-6,2022,Bot
Xayah,2,0,3,1,1,50,18,39:54:00,10.7,673,475,15.5,447,446,2022,Bot
Aphelios,31,34,78,19,12,61,3.8,33:26:00,9.3,444,434,7.5,338,11,2021,Bot
Miss Fortune,51,10,73,22,29,43,3.6,35:09:00,9.3,429,422,1.3,36,0,2021,Bot
Lucian,15,45,72,9,6,60,3.5,35:51:00,9.6,507,427,6.8,284,354,2021,Bot
Jhin,28,2,36,18,10,64,8.4,33:22:00,8.9,384,414,-7.5,-175,-19,2021,Bot
Draven,4,18,27,1,3,25,2.8,34:32:00,9.2,317,427,3.2,308,107,2021,Bot
Ezreal,11,8,23,6,5,55,4.1,32:05:00,8.9,570,415,-12.3,-433,-346,2021,Bot
Ziggs,9,6,18,3,6,33,3.1,37:57:00,9.1,676,391,-5.9,-449,-113,2021,Bot
Kaisa,8,2,12,3,5,38,4.4,34:47:00,9.3,432,424,5.4,167,241,2021,Bot
Jinx,1,3,5,0,1,0,0.7,30:24:00,10.1,376,380,-13,-540,-1079,2021,Bot
Tristana,3,1,5,2,1,67,4,31:43:00,9.7,326,427,-8,-278,241,2021,Bot
Varus,2,1,4,0,2,0,0.3,29:57:00,8.4,600,332,-11.5,-2159,-692,2021,Bot
Kalista,1,1,2,0,1,0,4.3,46:59:00,8.4,509,435,19,1069,186,2021,Bot
Xayah,1,1,2,0,1,0,1,36:36:00,8.4,240,342,-3,-1150,-421,2021,Bot
Ashe,1,0,1,0,1,0,1.2,30:50:00,7.3,410,358,-14,330,-673,2021,Bot
Lucian,1,60,80,0,1,0,1.5,28:32:00,10.2,366,389,8,-315,-200,2020,Bot
Ashe,32,20,68,15,17,47,3.6,32:28:00,9,498,414,1.7,208,56,2020,Bot
Jhin,31,11,55,20,11,65,6.9,31:10:00,9.1,486,433,-0.3,195,119,2020,Bot
Senna,30,12,55,14,16,47,5.1,31:27:00,7.9,447,381,-2.4,-244,-182,2020,Bot
Ezreal,21,19,53,12,9,57,3,33:15:00,9.3,683,428,-4,-402,-51,2020,Bot
Caitlyn,11,28,51,6,5,55,5.3,32:26:00,9.8,513,449,8.3,527,213,2020,Bot
Kalista,8,17,33,2,6,25,1.9,30:59:00,9,326,389,8.1,116,-10,2020,Bot
Twitch,2,12,18,0,2,0,1.3,31:02:00,7.8,551,368,-34,-2429,-1152,2020,Bot
Aphelios,6,2,11,3,3,50,3.4,31:47:00,9.1,549,428,10.5,518,493,2020,Bot
Miss Fortune,5,0,7,3,2,60,4.5,34:42:00,9.9,534,436,6,373,136,2020,Bot
Draven,2,1,4,1,1,50,4.7,32:07:00,8.6,379,431,12.5,759,383,2020,Bot
Karthus,1,1,3,0,1,0,1.7,32:34:00,7.4,773,355,-33,-602,-357,2020,Bot
Ziggs,2,0,3,0,2,0,0.4,31:43:00,7.8,650,346,-35,-2192,-1382,2020,Bot
Xayah,34,30,83,24,10,71,5.9,31:41:00,10.2,473,470,10,609,273,2019,Bot
Kaisa,50,12,81,25,25,50,4.8,31:54:00,9.6,429,456,-2.3,8,-48,2019,Bot
Syndra,4,40,57,0,4,0,2.1,34:53:00,9.4,291,378,0,-325,-70,2019,Bot
Kayle,1,36,48,1,0,100,9,35:43:00,9.2,548,470,-4,388,793,2019,Bot
Ezreal,14,9,30,5,9,36,2.7,31:57:00,9.9,513,437,-3.6,-455,-408,2019,Bot
Yasuo,8,14,29,5,3,63,2.6,30:38:00,9.2,269,414,0.4,-379,393,2019,Bot
Tristana,2,11,17,0,2,0,2,35:45:00,9.1,243,383,-17,-400,-252,2019,Bot
Irelia,1,11,16,1,0,100,5,37:51:00,9.2,344,427,1,-435,87,2019,Bot
Lucian,4,7,14,0,4,0,1.1,31:48:00,8.3,330,351,-13.2,-965,-280,2019,Bot
Morgana,1,10,14,0,1,0,2.5,36:21:00,8.8,347,348,-22,-767,-82,2019,Bot
Varus,9,1,13,6,3,67,5.1,33:12:00,9.5,496,476,3,465,-43,2019,Bot
Veigar,2,8,13,0,2,0,3.2,32:59:00,8.4,284,389,3,487,-20,2019,Bot
Heimerdinger,4,5,12,1,3,25,2.5,39:22:00,7.3,732,360,-21.5,-728,-96,2019,Bot
Garen,7,1,10,3,4,43,3.1,37:55:00,7.9,242,380,4.4,-398,-317,2019,Bot
Vayne,2,4,8,2,0,100,6,31:15:00,9.5,309,460,18.5,1270,1236,2019,Bot
Cassiopeia,1,2,4,0,1,0,0.6,24:37:00,5.9,214,316,-35,-2662,-1046,2019,Bot
Draven,2,1,4,1,1,50,3.6,30:29:00,9.2,280,452,-18.5,-1401,-786,2019,Bot
Jinx,2,0,3,1,1,50,6.3,30:33:00,9.9,412,461,22.5,98,114,2019,Bot
Orianna,1,1,3,0,1,0,1.5,44:22:00,9.7,355,398,22,-567,1019,2019,Bot
Sivir,1,1,3,1,0,100,16,40:54:00,11.8,566,543,-18,-623,-192,2019,Bot
Sona,1,1,3,0,1,0,2,43:28:00,5.9,794,424,-77,30,-684,2019,Bot
Caitlyn,1,0,1,0,1,0,3,31:57:00,9.3,485,422,4,992,-522,2019,Bot
KogMaw,1,0,1,1,0,100,3.3,43:53:00,9.2,1184,509,16,-38,290,2019,Bot
Zoe,1,0,1,0,1,0,1,28:29:00,7.4,453,352,-3,-1467,-156,2019,Bot
Xayah,34,28,81,17,17,50,4.6,33:39:00,10.2,524,444,-1.5,30,-127,2018,Bot
Kaisa,43,19,81,21,22,49,4.3,31:55:00,10.1,486,436,-3.3,-131,-194,2018,Bot
Sivir,18,9,35,12,6,67,5.9,33:54:00,10.8,588,455,1.7,2,219,2018,Bot
Lucian,15,8,30,9,6,60,4.6,31:18:00,10.2,510,441,19.9,586,418,2018,Bot
Varus,11,11,29,5,6,45,3,30:02:00,9.4,389,408,-1.3,-154,-107,2018,Bot
Heimerdinger,2,13,19,2,0,100,14,34:38:00,10.3,625,444,9,167,554,2018,Bot
Tristana,9,5,18,4,5,44,4.8,31:15:00,10.6,450,427,-8,-195,-49,2018,Bot
Jhin,6,5,14,2,4,33,3.4,32:43:00,10.6,363,404,1,-307,264,2018,Bot
Ezreal,8,1,12,3,5,38,3,32:00:00,10,667,419,-10.4,-170,120,2018,Bot
Draven,2,6,10,1,1,50,6.7,32:34:00,9.8,486,483,20.5,908,410,2018,Bot
Viktor,1,6,9,0,1,0,3.5,32:51:00,8.6,302,339,2,142,123,2018,Bot
Kalista,2,0,3,1,1,50,3.6,28:21:00,9.5,330,402,-9.5,-8,-68,2018,Bot
Ashe,1,0,1,0,1,0,5,43:59:00,10,397,404,-3,382,267,2018,Bot
Brand,1,0,1,0,1,0,2.4,43:41:00,8.6,876,420,0,177,-489,2018,Bot
Mordekaiser,1,0,1,0,1,0,1,33:14:00,7.5,322,304,-13,-365,-158,2018,Bot
Xayah,25,44,86,13,12,52,5.9,36:11:00,10,671,436,0.6,134,171,2017,Bot
Tristana,45,16,76,22,23,49,3.7,35:11:00,10,672,432,0.2,31,83,2017,Bot
KogMaw,27,22,61,12,15,44,2.9,36:54:00,9.4,705,417,-7.9,-416,-339,2017,Bot
Twitch,22,9,39,13,9,59,4.7,35:49:00,9.5,609,425,-7,-253,47,2017,Bot
Varus,23,6,36,10,13,43,4,36:39:00,9.9,560,418,6.5,193,-103,2017,Bot
Caitlyn,9,10,24,6,3,67,8,32:09:00,9.8,854,440,15.1,705,241,2017,Bot
Vayne,4,1,6,2,2,50,8,33:46:00,9.9,548,462,-0.2,-469,164,2017,Bot
Sivir,3,1,5,1,2,33,2.1,41:17:00,11.5,884,456,6.3,693,-188,2017,Bot
Ashe,1,0,1,1,0,100,8,32:00:00,9.6,532,470,25,766,186,2017,Bot
Jinx,1,0,1,0,1,0,0,46:47:00,11.4,668,413,17,325,21,2017,Bot
Jhin,39,12,66,24,15,62,5.2,39:22:00,8.2,632,398,-2.2,23,14,2016,Bot
Caitlyn,34,15,64,16,18,47,3.2,38:30:00,9.3,511,408,5.7,69,70,2016,Bot
Ezreal,32,7,51,11,21,34,3.4,38:27:00,8.6,704,396,-2.3,-13,66,2016,Bot
Sivir,20,11,40,10,10,50,4.9,35:50:00,9.8,551,417,-5.5,-234,-241,2016,Bot
Ashe,11,4,19,7,4,64,3.6,41:20:00,9.3,453,423,1.8,62,-135,2016,Bot
Lucian,13,1,18,7,6,54,4.2,38:24:00,9.1,547,415,8.5,274,207,2016,Bot
Jinx,5,0,6,2,3,40,4.1,37:41:00,9.5,493,404,-11.2,-479,-285,2016,Bot
Rell,44,16,73,21,23,48,2.7,33:42:00,1.1,129,244,0.2,-55,-100,2024,Support
Rakan,23,19,51,14,9,61,4.9,31:00:00,1.3,140,256,-0.8,51,-101,2024,Support
Poppy,9,27,44,3,6,33,1.7,33:58:00,1.3,189,236,2.3,-64,-143,2024,Support
Renata Glasc,16,19,43,8,8,50,4,34:05:00,1.2,177,253,-2.8,270,278,2024,Support
Leona,22,11,40,12,10,55,2.5,34:22:00,1.1,175,239,-2,-268,-176,2024,Support
Alistar,14,7,26,5,9,36,2.4,31:44:00,1.1,115,227,3.5,-73,289,2024,Support
Braum,11,8,23,7,4,64,3.3,33:44:00,1.1,156,239,3.4,191,453,2024,Support
Neeko,3,11,17,2,1,67,3.1,32:50:00,1.1,340,241,-2.7,274,151,2024,Support
Maokai,4,8,15,2,2,50,2.2,30:10:00,1,239,241,-9,-152,-600,2024,Support
Nautilus,8,4,15,3,5,38,1.6,29:06:00,1.2,183,242,0,-38,-388,2024,Support
Blitzcrank,1,3,5,1,0,100,10,27:35:00,1.6,145,284,5,765,108,2024,Support
Lulu,1,1,2,1,0,100,12,38:08:00,0.8,193,254,-1,-771,-274,2024,Support
Nami,1,1,2,0,1,0,12,42:14:00,1.1,259,217,3,116,20,2024,Support
Bard,1,1,2,1,0,100,13,31:57:00,1.8,152,266,10,511,790,2024,Support
Tahm Kench,1,1,2,0,1,0,0.5,38:08:00,0.7,202,224,1,771,274,2024,Support
Pyke,2,0,2,2,0,100,6,35:30:00,1.1,215,286,-1.5,798,584,2024,Support
Lux,1,0,1,0,1,0,3.2,43:04:00,1.3,408,239,6,182,220,2024,Support
Taric,1,0,1,0,1,0,2.3,34:38:00,1.2,80,237,4,-876,106,2024,Support
Senna,1,0,1,0,1,0,4,32:35:00,1.5,356,287,12,125,1067,2024,Support
Rakan,30,27,72,17,13,57,4.3,30:18:00,1.4,134,244,4.9,-49,-30,2023,Support
Renata Glasc,17,31,61,14,3,82,7.5,30:37:00,0.9,173,260,-2.6,213,114,2023,Support
Alistar,22,19,52,6,16,27,1.9,31:09:00,1,120,224,3.5,-212,-16,2023,Support
Rell,19,15,43,8,11,42,2.5,32:23:00,1.2,134,232,1.6,-289,-168,2023,Support
Nautilus,12,21,42,7,5,58,2.1,33:20:00,1.2,127,231,0.8,-3,-20,2023,Support
Caitlyn,1,18,24,0,1,0,2,28:09:00,1.7,333,241,3,915,920,2023,Support
Ashe,5,7,15,3,2,60,4.2,32:43:00,1,347,260,-8.2,156,-36,2023,Support
Senna,9,3,15,6,3,67,7.8,32:09:00,1.6,484,314,-1.1,838,850,2023,Support
Blitzcrank,3,6,11,0,3,0,0.9,25:16:00,1,131,215,6,-580,-692,2023,Support
Bard,6,2,10,4,2,67,4.4,27:01:00,1,260,270,-8.7,324,30,2023,Support
Milio,7,0,9,5,2,71,8.8,31:17:00,0.7,80,242,-8.7,-167,73,2023,Support
Leona,5,0,6,1,4,20,1,34:10:00,1.1,88,213,0.6,-235,-308,2023,Support
Lulu,4,0,5,2,2,50,8.8,30:36:00,0.7,140,245,-10.2,371,142,2023,Support
Lux,4,0,5,2,2,50,3.4,29:37:00,1.1,382,285,-4.2,196,-326,2023,Support
Braum,3,1,5,1,2,33,3,36:33:00,1.4,136,235,14,-197,203,2023,Support
Tahm Kench,3,1,5,1,2,33,3,32:11:00,1.2,165,234,7,-125,247,2023,Support
Heimerdinger,2,1,4,1,1,50,2.4,27:28:00,0.6,357,240,-15.5,174,-751,2023,Support
Lissandra,2,0,3,1,1,50,1.7,37:49:00,0.9,266,221,-22,-18,-694,2023,Support
Karma,1,0,1,0,1,0,2,26:23:00,0.8,230,220,8,-433,408,2023,Support
Soraka,1,0,1,0,1,0,0.3,28:58:00,0.3,191,202,-21,-695,216,2023,Support
Thresh,1,0,1,0,1,0,1.5,28:29:00,1.2,112,228,-2,835,-208,2023,Support
Sett,1,0,1,0,1,0,0.2,22:35,1.9,164,217,7,-368,-887,2023,Support
Yuumi,8,68,95,8,0,100,13.8,31:58:00,0.2,424,269,-6.6,355,840,2022,Support
Renata Glasc,21,20,51,13,8,62,4.2,31:21:00,0.7,174,247,-3.3,-140,-81,2022,Support
Nami,26,1,34,15,11,58,4.7,31:04:00,0.4,199,249,-5.1,-13,-10,2022,Support
Heimerdinger,8,13,26,4,4,50,2.1,34:45:00,1,426,252,-1.2,213,-77,2022,Support
Nautilus,7,11,23,1,6,14,1.3,34:53:00,1,110,204,4.9,-82,-335,2022,Support
Lulu,15,1,20,8,7,53,3.8,32:00:00,0.5,145,235,1.1,94,114,2022,Support
Thresh,7,6,16,4,3,57,3.6,29:09:00,1.2,144,247,10.3,244,-19,2022,Support
Leona,9,3,15,2,7,22,1.6,29:02:00,1.2,97,222,5.7,-111,153,2022,Support
Soraka,9,3,15,4,5,44,2.6,32:05:00,0.6,182,223,-10.6,63,-147,2022,Support
Amumu,6,5,14,2,4,33,2.1,31:18:00,1.2,170,233,7,-174,113,2022,Support
Karma,7,3,13,2,5,29,2,33:03:00,0.7,287,240,-0.1,90,-202,2022,Support
Rell,6,3,11,4,2,67,3.1,28:48:00,1.2,122,241,6.7,9,113,2022,Support
Ashe,1,7,10,1,0,100,4.3,38:42:00,0.8,443,257,-17,68,144,2022,Support
Lux,7,1,10,3,4,43,3.1,34:05:00,1.1,275,243,-5,-31,-7,2022,Support
Tahm Kench,6,2,10,2,4,33,2.1,29:57:00,1.2,161,222,10.3,-147,-9,2022,Support
Pyke,1,5,8,0,1,0,0.8,39:20:00,1.2,213,256,12,-434,-507,2022,Support
Senna,3,3,8,0,3,0,1.4,31:37:00,1.6,232,254,9,123,-533,2022,Support
Alistar,2,2,5,1,1,50,5.5,29:50:00,0.9,160,246,6.5,-399,-454,2022,Support
Braum,2,2,5,2,0,100,14.5,33:57:00,1,201,264,-0.5,578,624,2022,Support
Syndra,1,2,4,0,1,0,1.3,31:30:00,1,287,228,3,-556,30,2022,Support
Sett,2,1,4,1,1,50,2.8,30:03:00,1.4,203,250,7.5,458,-172,2022,Support
Blitzcrank,2,0,3,1,1,50,3,26:05:00,1.2,153,247,11.5,418,72,2022,Support
Bard,2,0,3,1,1,50,7.5,35:49:00,1.1,134,208,3.5,-827,160,2022,Support
Rakan,1,1,3,1,0,100,5,33:37:00,1.1,178,247,-2,-373,-543,2022,Support
Nasus,1,0,1,0,1,0,0.8,30:15:00,0.5,203,190,-2,-1443,-1264,2022,Support
Yuumi,15,65,96,8,7,53,7.8,32:04:00,0.3,323,243,-13.2,108,-19,2021,Support
Leona,32,22,65,11,21,34,2.2,33:32:00,1.2,94,222,2.1,-76,51,2021,Support
Rakan,29,16,54,18,11,62,4.4,35:15:00,1.2,130,237,0.8,31,19,2021,Support
Nami,13,20,40,7,6,54,4.9,35:26:00,0.5,184,233,-5.2,61,97,2021,Support
Thresh,12,18,36,7,5,58,4.3,33:43:00,1,101,233,-0.7,-98,-128,2021,Support
Lulu,16,3,23,9,7,56,3.8,33:53:00,0.5,105,235,-3.4,194,-79,2021,Support
Braum,11,8,23,4,7,36,2,33:11:00,1.1,156,220,1.8,-108,-135,2021,Support
Nautilus,10,4,17,5,5,50,1.9,34:12:00,1,117,222,14,-184,27,2021,Support
Rell,9,3,14,5,4,56,2.7,33:49:00,1.1,134,232,4.6,-57,-154,2021,Support
Amumu,1,6,8,1,0,100,3,38:29:00,0.8,155,245,1,23,160,2021,Support
Sett,1,6,8,1,0,100,1.8,40:25:00,1.4,234,233,3,-520,-265,2021,Support
Alistar,5,0,6,2,3,40,2.4,38:53:00,1,121,214,3.2,-234,-82,2021,Support
Shen,3,0,4,1,2,33,3.7,38:05:00,1.2,112,237,0.7,159,591,2021,Support
Zilean,3,0,4,2,1,67,10,36:29:00,1.1,60,240,-3,-353,-93,2021,Support
Pyke,3,0,4,1,2,33,2.1,36:10:00,1.3,205,295,7.7,781,370,2021,Support
Gragas,1,1,2,0,1,0,1.6,43:50:00,0.8,168,194,-2,7,270,2021,Support
Maokai,2,0,2,1,1,50,2.4,33:25:00,1.6,393,245,2,318,-59,2021,Support
Leona,24,18,55,17,7,71,2.6,32:34:00,1.2,130,237,0.5,116,58,2020,Support
Pantheon,17,21,50,10,7,59,2.3,31:46:00,1.8,280,264,1.5,287,77,2020,Support
Sett,9,23,42,4,5,44,1.9,33:40:00,1.4,261,244,2.3,73,-98,2020,Support
Tahm Kench,15,14,38,8,7,53,2.6,33:49:00,1,157,232,-1.5,-6,-222,2020,Support
Bard,15,12,36,9,6,60,4.9,32:39:00,1.4,181,240,0.7,-108,273,2020,Support
Thresh,10,14,32,4,6,40,2.6,32:23:00,1.2,107,223,0.6,-170,-78,2020,Support
Rakan,14,9,30,7,7,50,2.7,30:43:00,1.3,120,223,1.8,-84,73,2020,Support
Nautilus,13,5,24,2,11,15,1.2,30:02:00,1.2,134,211,3.3,-256,-137,2020,Support
Senna,1,12,17,0,1,0,0.8,23:08,1.1,360,253,-13,-350,-537,2020,Support
Lulu,5,7,16,3,2,60,7,34:05:00,0.8,93,228,-3.2,346,696,2020,Support
Braum,7,3,13,4,3,57,3.4,30:00:00,1.1,178,236,0.7,145,151,2020,Support
Alistar,6,3,12,0,6,0,1.4,33:34:00,1.1,114,218,-2.3,-467,-215,2020,Support
Blitzcrank,4,4,11,2,2,50,2.7,30:02:00,0.9,132,226,-4.8,117,-501,2020,Support
Karma,4,4,11,3,1,75,4.5,30:25:00,0.7,160,232,-16.5,-345,-492,2020,Support
Lux,5,3,11,2,3,40,3.4,33:24:00,1.3,120,228,5.6,236,146,2020,Support
Taric,3,0,4,1,2,33,2.6,29:03:00,1.1,46,220,-8,-87,-174,2020,Support
Nautilus,33,17,65,17,16,52,2.4,32:40:00,1.9,136,247,8.9,-8,197,2019,Support
Rakan,23,20,56,13,10,57,4.4,31:24:00,0.6,148,250,-11.3,-84,-55,2019,Support
Yuumi,9,18,35,3,6,33,5.5,36:14:00,1.9,719,306,6.9,559,555,2019,Support
Gragas,7,16,30,4,3,57,2.4,30:38:00,0.7,204,237,-17,-251,-273,2019,Support
Leona,15,7,29,10,5,67,2.2,34:50:00,2,106,257,6.1,-28,-114,2019,Support
Thresh,15,2,22,8,7,53,3.8,33:11:00,0.5,105,249,-12.3,182,-109,2019,Support
Alistar,11,3,18,4,7,36,1.6,28:50:00,1.5,112,220,1,-249,-173,2019,Support
Morgana,3,10,17,2,1,67,4.8,32:56:00,0.8,189,265,-2.7,173,-26,2019,Support
